,Rank,Cafe,Menu,URL
0,1,Coalfire,Lasagna,https://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Coalfire/
1,2,Macello,Pugliese,https://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Macello/
2,3,Piece,Plain,https://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Piece/
3,4,Santullo’s Eatery,Pepperoni,https://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Santullos-Eatery/
4,5,Boiler Room,Hawaiian,https://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Boiler-Room/
5,6,Vito & Nick’s,"Half sausage, half cheese",https://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Vito-Nicks/
6,7,Big Chef Burgers,No. 7,https://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Big-Chef-Burgers/
7,8,Pizzeria da Nella,Cavani,https://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Pizzeria-da-Nella/
8,9,Bartoli’s,Bartoli’s Chicago Classic,https://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Bartolis/
9,10,Tocco,Rustica,https://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Tocco/
10,11,Balena,Sausage,https://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Balena/
11,12,Elio Pizza on Fire,Ortolana (eggplant),https://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Elio-Pizza-on-Fire/
12,13,Eataly,Margherita,https://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Eataly/
13,14,Dante’s Pizzeria,The Inferno,https://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Dantes-Pizzeria/
14,15,Pizzeria Uno,Italian sausage,https://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Pizzeria-Uno/
15,16,Lou Malnati’s,Malnati Chicago Classic,https://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Lou-Malnatis/
16,17,Union,Sausage and pepper,https://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Union/
17,18,Sono Wood Fired,Speck,https://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Sono-Wood-Fired/
18,19,Pizano’s,Cheese,https://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Pizanos/
19,20,Pizza East,Eggplant,https://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Pizza-East/
20,21,Fiammé Pizzeria Napoletana,Sweet Home Chicago,https://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Fiamme-Pizzeria-Napoletana/
21,22,Jimmy’s Pizza Cafe,Pepperoni,https://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Jimmys-Pizza-Cafe/
22,23,Nellcôte,Lamb merguez,https://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Nellcote/
23,24,Parlor Pizza Bar,Abe Froman’s Fave,https://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Parlor-Pizza-Bar/
24,25,The Local Pizzeria,Caramelized onion,https://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/The-Local-Pizzeria/
25,26,Pi-Hi Café,Mediterranean Pi,https://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Pi-Hi-Cafe/
26,27,Spacca Napoli,Margherita,https://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Spacca-Napoli/
27,28,Reno,Combo (sausage and mushroom),https://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Reno/
28,29,Davanti Enoteca,Terra,https://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Davanti-Enoteca/
29,30,Roots,Charlie McKenna’s Lillie’s Q BBQ Pulled Pork,https://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Roots/
30,31,Osteria La Madia,Grape and Taleggio,https://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Osteria-La-Madia/
31,32,Nueva Italy Pizzeria,Vegetarian,https://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Nueva-Italy-Pizzeria/
32,33,Home Run Inn,Laura’s Favorite,https://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Home-Run-Inn/
33,34,Bongiorno,Pepperoni,https://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Bongiorno/
34,35,Bar Siena,Prosciutto and fig,https://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Bar-Siena/
35,36,Borelli’s Pizza,Quattro formagi,https://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Borellis-Pizza/
36,37,Louisa’s Pizza & Pasta,Sausage,https://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Louisas-Pizza-and-Pasta/
37,38,Marie’s Pizza & Liquors,Marie’s Special,https://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Maries-Pizza-and-Liquors/
